nome_func,telefone_func
Wade Castilla,3624418165
Griff Gonthier,5101624917
Iris Slewcock,9025315381
Prince Muncey,6863380742
Clementius Karpmann,8566476341
Stanislaus Traher,3761599791
Louella Wellum,1443557671
Minne Godmer,6198413518
Hyacinthe M'Quhan,1586588026
Judah Otley,8953031699
Nial McGroarty,1439695019
Nelson Hitscher,6207060175
Bud Cookman,4099874914
Petronella Southgate,8619994110
Perla Lapere,9465704727
Teodor Grabb,1041029783
Laurette Charters,7584456521
Engracia Barnwille,5849168792
